index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
35,1,0,11285556,14020,0,0,0,515,-47.16,-12.57,-1,0,12285556,0.992
36,1,0,11285556,14391,0,0,0,516,-45.7,3.94,-1,0,12285556,0.993
37,1,0,11285556,14757,0,0,0,515,-46.23,-1.46,-1,0,12285556,0.994
38,1,0,11285676,15125,0,0,0,514,-46.76,-1.43,-1,0,12285676,0.995
39,1,0,11285676,15492,0,0,0,518,-42.33,12.06,-1,0,12285676,0.996
40,1,0,11285676,15859,0,0,0,520,-39.93,6.55,-1,0,12285676,0.996
41,1,0,11285800,16228,0,0,0,517,-42.5,-6.97,-1,0,12285800,0.997
42,1,0,11285800,16596,0,0,0,517,-42.08,1.15,-1,0,12285800,0.997
43,1,0,11285800,16962,0,0,0,518,-40.67,3.85,-1,0,12285800,0.998
44,1,0,11285900,17329,0,0,0,516,-42.24,-4.29,-1,0,12285900,0.998
45,1,0,11285900,17725,0,0,0,513,-44.79,-6.43,-1,0,12285900,0.998
46,1,0,11285900,18092,0,0,0,512,-45.33,-1.48,-1,0,12285900,0.999
47,1,0,11290000,18461,0,0,0,515,-41.91,9.28,-1,0,12290000,0.999
48,1,0,11290000,18830,0,0,0,515,-41.49,1.14,-1,0,12290000,0.999
49,1,0,11290100,19197,0,0,0,516,-40.08,3.83,-1,0,12290100,0.999
50,1,0,11290100,19564,0,0,0,517,-38.69,3.79,-1,0,12290100,0.999
51,1,0,11290100,19930,0,0,0,519,-36.32,6.47,-1,0,12290100,0.999
52,1,0,11290200,20297,0,0,0,524,-31.01,14.48,-1,0,12290200,0.999
53,1,0,11290200,20665,0,0,0,528,-26.74,11.6,-1,0,12290200,1
54,1,0,11290200,21036,0,0,0,528,-26.47,0.72,-1,0,12290200,0.982
55,1,0,11290300,21403,0,0,0,529,-25.22,3.42,-1,0,12290300,0.97
56,1,0,11290300,21772,0,0,0,529,-24.97,0.68,-1,0,12290300,0.945
57,1,0,11290400,22138,0,0,0,528,-25.71,-2.02,-1,0,12290400,0.929
58,1,0,11290400,22506,0,0,0,528,-25.45,0.7,-1,0,12290400,0.903
59,1,0,11290400,22872,0,0,0,525,-28.17,-7.42,-1,0,12290400,0.918
60,1,0,11290500,23240,0,0,0,523,-29.86,-4.62,-1,0,12290500,0.93
61,1,0,11290500,23608,0,0,0,520,-32.54,-7.26,-1,0,12290500,0.94
62,1,0,11290500,23975,0,0,0,518,-34.19,-4.51,-1,0,12290500,0.949
63,1,0,11290600,24375,0,0,0,515,-36.82,-6.57,-1,0,12290600,0.957
64,1,0,11290600,24743,0,0,0,514,-37.44,-1.69,-1,0,12290600,0.957
65,1,0,11290600,25111,0,0,0,515,-36.08,3.71,-1,0,12290600,0.963
66,1,0,11290700,25479,0,0,0,515,-35.71,0.98,-1,0,12290700,0.952
67,1,0,11290700,25845,0,0,0,517,-33.38,6.39,-1,0,12290700,0.959
68,1,0,11290800,26212,0,0,0,518,-32.05,3.61,-1,0,12290800,0.961
69,1,0,11290800,26579,0,0,0,519,-30.74,3.57,-1,0,12290800,0.959
70,1,0,11290800,26945,0,0,0,521,-28.46,6.25,-1,0,12290800,0.966
71,1,0,11290900,27319,0,0,0,522,-27.18,3.41,-1,0,12290900,0.955
72,1,0,11290900,27686,0,0,0,524,-24.93,6.14,-1,0,12290900,0.961
73,1,0,11290900,28052,0,0,0,525,-23.69,3.39,-1,0,12290900,0.949
74,1,0,11291000,28419,0,0,0,525,-23.45,0.65,-1,0,12291000,0.923
75,1,0,11291000,28785,0,0,0,524,-24.21,-2.06,-1,0,12291000,0.902
76,1,0,11291100,29152,0,0,0,521,-26.94,-7.43,-1,0,12291100,0.916
77,1,0,11291100,29521,0,0,0,518,-29.64,-7.32,-1,0,12291100,0.929
78,1,0,11291100,29891,0,0,0,516,-31.32,-4.55,-1,0,12291100,0.939
79,1,0,11291200,30259,0,0,0,514,-32.99,-4.53,-1,0,12291200,0.948
80,1,0,11291200,30627,0,0,0,513,-33.65,-1.79,-1,0,12291200,0.938
81,1,0,11291200,30994,0,0,0,514,-32.32,3.61,-1,0,12291200,0.94
82,1,0,11291300,31390,0,0,0,515,-31.01,3.32,-1,0,12291300,0.938
83,1,0,11291300,31756,0,0,0,515,-30.7,0.85,-1,0,12291300,0.919
84,1,0,11291300,32122,0,0,0,517,-28.41,6.25,-1,0,12291300,0.931
85,1,170126,11291400,32490,0,0,0,518,-27.14,3.46,-1,260117,12291400,0.924
86,1,170126,11291400,32869,0,0,0,519,-25.88,3.33,-1,260117,12291400,0.914
87,1,170126,11291500,33246,0,0,0,519,-25.62,0.69,-1,260117,12291500,0.89
88,1,170126,11291500,33624,0,0,0,517,-27.34,-4.56,-1,260117,12291500,0.898
89,1,170126,11291500,34005,0,0,0,519,-25.09,5.91,-1,260117,12291500,0.911
